"reefName","x","y","area","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput"
"U/N Reef (10-330)",142.59162903,-10.77950287,2160417.506,1.26500403881073,0.384074479341507,7.48848390579224
"Harrington Shoal (10-331)",142.71060181,-10.79659367,1104408.176,0.73620331287384,0.186270609498024,4.57598447799683
"U/N Reef (10-332)",142.57356262,-10.82426262,976995.7342,1.26504790782928,0.382694512605667,7.45455837249756
"U/N Reef (10-333)",142.57661438,-10.8354435,454888.3485,1.26681625843048,0.372403800487518,7.45455837249756
"Four Fathom Patches (10-334)",142.68708801,-10.81985474,1683480.033,0.742914617061615,0.194120660424232,4.65493631362915
"Harrington Reef (10-335)",142.72311401,-10.82125187,1967176.707,0.733918428421021,0.184942573308945,5.17696475982666
"Wyborn Reef (10-336)",142.76223755,-10.82104492,14826625.58,0.727431297302246,0.197714790701866,5.3235182762146
"U/N Reef (10-337)",142.92880249,-10.80788326,635652.1532,0.19898733496666,0.0738103613257408,0.880749404430389
"Womer Reef (10-338)",142.98362732,-10.79982185,3090350.244,0.272801965475082,0.0760480910539627,0.909383296966553
"Brewis Reef (10-339)",142.69335938,-10.88696003,170025.6307,0.7459956407547,0.208924427628517,5.09584283828735
"Turtle Island Reef (10-340)",142.69628906,-10.88979912,289104.9077,0.746109902858734,0.195362523198128,5.07326221466064
"Shortland Reef (10-341)",142.77270508,-10.90133476,3614442.336,0.745732247829437,0.18941330909729,5.24385023117065
"Trochus Reef (10-342)",142.63183594,-10.92067909,655063.5584,0.739006340503693,0.215653881430626,5.03659057617188
"U/N Reef (10-299)",143.08961487,-10.77538872,3584080.437,0.337053894996643,0.125772699713707,1.37677681446075
"Ida Reef (10-314)",142.55873108,-10.71000767,446261.6148,1.21959865093231,0.365677624940872,7.42066240310669
"Tree Reef (10-316)",142.5970459,-10.70428848,92028.66625,1.29271364212036,0.385934889316559,7.4412727355957
"Brush Islet Reef (10-317)",142.59786987,-10.70888901,139720.9895,1.27192497253418,0.407575011253357,7.51647329330444
"Albany Island Reef (No 1) (10-318a)",142.5929718,-10.71530914,686833.2698,1.27091145515442,0.367929041385651,7.4412727355957
"Albany Island Reef (No 2) (10-318b)",142.61784363,-10.72830391,823611.7382,0.863051354885101,0.234737202525139,5.13490152359009
"Albany Island Reef (No 3) (10-318c)",142.62330627,-10.7466259,538542.1609,0.802632749080658,0.217311039566994,5.18499326705933
"Albany Island Reef (No 4) (10-318d)",142.60494995,-10.73894119,1244505.325,1.29909670352936,0.384419083595276,7.51772212982178
"Mai Reef (10-320)",142.62464905,-10.72395611,841209.6165,0.856066584587097,0.216855183243752,5.13490152359009
"Albany Rock Reef (10-321)",142.62982178,-10.71882725,102848.6803,0.832888901233673,0.219519034028053,5.08757638931274
"North Brother Reef (10-322)",142.673172,-10.70076275,119050.1668,0.770591974258423,0.223241284489632,4.6463360786438
"Middle Brother Reef (10-323)",142.68544006,-10.71178818,674648.6183,0.785233557224274,0.20365996658802,5.16304159164429
"South Brother Reef (10-324)",142.6918335,-10.71665955,277807.0462,0.765240728855133,0.203296944499016,4.89964294433594
"North Ledge (10-325)",142.73832703,-10.68028641,5870704.893,0.766284465789795,0.196391835808754,5.14771127700806
"Meggi-Damun Reef (10-326)",142.78610229,-10.68252754,5097799.494,0.732095181941986,0.190843790769577,5.090735912323
"South Ledge (10-327)",142.73246765,-10.70542622,37291164.12,0.810484766960144,0.238990977406502,5.68913221359253
"Ulfa Reef (10-328)",142.6144104,-10.75758648,71451.27242,0.799351394176483,0.259352833032608,4.92141342163086
"Ariel Bank (10-329)",142.62519836,-10.77074623,292911.8465,0.775434553623199,0.1992516964674,5.11332321166992
"U/N Reef (10-401)",143.80076599,-10.80318642,1175637.663,0.216904431581497,0.0347903855144978,0.363070905208588
"U/N Reef (10-402)",144.0065918,-10.80548668,8142323.234,0.289877235889435,0.025590417906642,0.46474426984787
"U/N Reef (10-403)",143.99606323,-10.82373524,4455304.058,0.381043016910553,0.0741796493530273,1.4357100725174
"U/N Reef (10-404)",143.82380676,-10.82510948,2700243.591,0.211498707532883,0.0329020991921425,0.424081087112427
"U/N Reef (10-405)",143.75805664,-10.84616756,4310622.378,0.281115740537643,0.0378313399851322,0.630487859249115
"U/N Reef (10-406)",144.01449585,-10.84487152,9094857.281,0.292819291353226,0.0267913248389959,0.498653709888458
"U/N Reef (10-407a)",143.98451233,-10.86612701,1575952.246,0.327727288007736,0.0297904051840305,0.546965837478638
"Turtle Head Island Reef (No 1) (10-343a)",142.70593262,-10.93688488,209905.7538,0.74367481470108,0.196074277162552,5.07012271881104
"Turtle Head Island Reef (No 2) (10-343b)",142.7061615,-10.94753647,675406.6945,0.739536225795746,0.188985869288445,5.09073305130005
"Tern Reef (10-344)",142.76638794,-10.99002266,225186.9092,0.78535008430481,0.199201300740242,5.01769351959229
"U/N Reef (10-348)",143.25215149,-10.68365002,1456574.305,0.160199567675591,0.0691963508725166,0.367161393165588
"U/N Reef (10-349)",143.43374634,-10.69710159,1353940.696,0.191782787442207,0.0611495114862919,0.542960047721863
"U/N Reef (10-350)",143.46632385,-10.69664955,506132.7084,0.189202129840851,0.0556239672005177,0.247215583920479
"U/N Reef (10-351)",143.19032288,-10.73180485,5809646.41,0.334070026874542,0.120702929794788,1.2502236366272
"U/N Reef (10-352)",143.33677673,-10.73468304,4742292.948,0.216970339417458,0.0647453293204308,0.331037253141403
"U/N Reef (10-353)",143.09373474,-10.75188351,2480863.091,0.321126103401184,0.118964858353138,1.36654341220856
"U/N Reef (10-354)",143.3717804,-10.75227928,502536.5353,0.238064229488373,0.076742097735405,0.394325524568558
"U/N Reef (10-355)",143.32429504,-10.75677586,1592462.506,0.230446070432663,0.087645061314106,0.438523888587952
"U/N Reef (10-356)",143.41204834,-10.77616978,1461091.014,0.178383976221085,0.0599672235548496,0.483982682228088
"U/N Reef (10-357)",143.35340881,-10.80583096,2565626.916,0.249712511897087,0.0664421021938324,0.328391760587692
"U/N Reef (10-358)",143.3356781,-10.83780289,9277107.127,0.243398249149323,0.0613442175090313,0.421183258295059
"U/N Reef (10-359)",143.45957947,-10.94054508,4044966.692,0.148520305752754,0.0502633228898048,0.274358361959457
"U/N Reef (10-360)",143.298172,-10.83911419,785924.0081,0.226711347699165,0.0919116586446762,0.470270156860352
"U/N Reef (10-361)",143.40377808,-10.84895229,2003005.896,0.194034695625305,0.0597189180552959,0.257662534713745
"U/N Reef (10-362)",143.23895264,-10.85297012,1693837.706,0.245936289429665,0.0925642475485802,0.494635224342346
"U/N Reef (10-363)",143.24015808,-10.89503193,947496.2735,0.22660830616951,0.09320417791605,0.470270156860352
"U/N Reef (10-364)",143.21000671,-10.89760017,1280078.588,0.256583034992218,0.0924249663949013,0.526614606380463
"Linda Reef (10-365)",143.17781067,-10.90662861,1432454.555,0.270732194185257,0.0898247584700584,0.900428831577301
"U/N Reef (10-366)",143.2897644,-10.90393257,439845.7328,0.210885018110275,0.0855582505464554,0.345016300678253
"U/N Reef (10-367)",143.38287354,-10.90547371,4172420.469,0.194433763623238,0.0613520890474319,0.323372691869736
"U/N Reef (10-368)",143.31407166,-10.91513443,4592169.35,0.233449071645737,0.0844215005636215,0.426689982414246
"U/N Reef (10-369)",143.2959137,-10.93176079,1625070.039,0.171205312013626,0.0926235243678093,0.447050750255585
"U/N Reef (10-370)",143.21829224,-10.93246841,549569.8686,0.174073398113251,0.0756139978766441,0.340151488780975
"U/N Reef (10-371)",143.24234009,-10.9469099,1465992.208,0.172024294734001,0.0902119278907776,0.447050750255585
"U/N Reef (10-372)",143.15708923,-10.9502964,843719.5022,0.262624621391296,0.127714678645134,1.40938520431519
"U/N Reef (10-373)",143.13014221,-10.95202541,769750.5563,0.199690297245979,0.0832964703440666,0.83344691991806
"U/N Reef (10-374)",143.35983276,-10.93915176,3871844.46,0.16895480453968,0.0713822171092033,0.35494476556778
"U/N Reef (10-375a)",143.3997345,-10.96371174,2509828.467,0.15619133412838,0.0630820095539093,0.342999756336212
"U/N Reef (10-375b)",143.4256134,-10.9675951,2882751.267,0.139880314469337,0.0594775676727295,0.306508451700211
"U/N Reef (10-376)",143.1255188,-10.98665619,1185132.549,0.209742367267609,0.0834098979830742,0.859643697738647
"U/N Reef (10-378)",143.51068115,-10.90591812,5264514.289,0.230164632201195,0.053046602755785,0.295779138803482
"U/N Reef (10-381)",143.9644928,-10.68788147,11295316.15,0.352491945028305,0.0328781940042973,0.717182636260986
"U/N Reef (10-382)",143.78704834,-10.70289612,4219894.175,0.275365263223648,0.0365449152886868,1.45860087871552
"U/N Reef (10-384)",143.96377563,-10.70974445,9817092.773,0.39403635263443,0.0745004713535309,1.50988328456879
"U/N Reef (10-385)",143.95874023,-10.72497368,1558279.24,0.333944469690323,0.0273653902113438,0.72282874584198
"U/N Reef (10-386)",143.97961426,-10.72316742,4548648.388,0.326932072639465,0.0265369564294815,0.769256412982941
"U/N Reef (10-387)",143.52099609,-10.69328785,7258628.905,0.246374279260635,0.0943723693490028,0.909831285476685
"U/N Reef (10-389)",143.96478271,-10.73436737,1190531.907,0.338537096977234,0.0347700007259846,0.598911643028259
"U/N Reef (10-390)",143.9733429,-10.7404232,3266909.739,0.332355171442032,0.0349083580076694,0.82723206281662
"Triangle Reef (10-391)",143.98234558,-10.75539112,17977690.64,0.337152540683746,0.0302909016609192,0.823640704154968
"U/N Reef (10-392)",143.60650635,-10.74197769,82586639.11,0.3393794298172,0.0634180381894112,0.751029193401337
"U/N Reef (10-393)",143.74429321,-10.74233627,19158862.63,0.215123921632767,0.0402800552546978,0.340615689754486
"U/N Reef (10-394)",143.50572205,-10.76967049,844466.3987,0.205260962247849,0.0626424923539162,0.387670874595642
"U/N Reef (10-395)",143.69085693,-10.78934574,4385149.712,0.232441708445549,0.0363453254103661,0.4132479429245
"U/N Reef (10-396)",143.71661377,-10.77029133,2526395.391,0.21528996527195,0.0368947237730026,0.611154198646545
"U/N Reef (10-397)",143.84376526,-10.76665306,738098.7974,0.260313838720322,0.036545142531395,1.20402121543884
"U/N Reef (10-398)",143.97547913,-10.77815247,3949463.79,0.328481912612915,0.0280389785766602,0.696398794651031
"U/N Reef (10-399)",143.98529053,-10.78567314,4217329.909,0.32404813170433,0.0273108370602131,0.719111025333405
"U/N Reef (10-400)",143.98979187,-10.79434872,3563194.387,0.384896576404572,0.073247492313385,1.51070261001587
"U/N Reef (10-426)",144.01452637,-10.95084667,4648055.05,0.29072380065918,0.0244224052876234,0.422402441501617
"U/N Reef (10-427)",143.51144409,-10.94451904,9991536.536,0.176046118140221,0.0493251979351044,0.389929831027985
"U/N Reef (10-428a)",143.99876404,-10.83556843,415659.7406,0.357469141483307,0.0452690981328487,0.750410318374634
"U/N Reef (10-428b)",144.00891113,-10.83007717,438895.6996,0.313074201345444,0.0719391480088234,0.453187346458435
"U/N Reef (10-429)",142.56591797,-10.72224331,94413.6836,1.27407467365265,0.414281100034714,7.51647329330444
"U/N Reef (10-430)",142.57713318,-10.72992325,134865.6037,1.27516257762909,0.407590061426163,7.51647329330444
"U/N Reef (10-431)",142.5796051,-10.79875946,304334.4618,1.26684939861298,0.390475362539291,7.45455837249756
"U/N Reef (10-432)",142.55267334,-10.83199787,1519749.482,1.27192437648773,0.367810249328613,7.48848390579224
"U/N Reef (10-434)",142.60444641,-10.75718403,983536.3528,1.30652916431427,0.398288935422897,7.51647329330444
"U/N Reef (10-436)",143.37953186,-10.84018993,68213.98758,0.202778741717339,0.0873197019100189,0.225759103894234
"U/N Reef (10-437)",143.44622803,-10.89760876,2274873.267,0.186040833592415,0.0597704499959946,0.235665574669838
"U/N Reef (10-438)",143.55375671,-10.93063068,455719.2922,0.169495463371277,0.0461210161447525,0.203891173005104
"U/N Reef (10-439)",143.62937927,-10.97612762,49946585.74,0.166294828057289,0.0386773906648159,0.274138063192368
"U/N Reef (10-440)",143.71253967,-10.94218445,14492055.95,0.2542385160923,0.0369012057781219,0.360660523176193
"U/N Reef (11-325)",143.7671814,-11.01291656,22383820.8,0.1566132158041,0.0373380370438099,0.165696933865547
"U/N Reef (10-442)",143.77836609,-10.98402596,1257351.822,0.137630179524422,0.0323086716234684,0.11356820166111
"U/N Reef (10-443)",143.95599365,-10.74168205,17337.05356,0.32935094833374,0.0649308189749718,0.752537488937378
"U/N Reef (10-444)",144.00192261,-10.93507957,268478.5149,0.304157376289368,0.0565798096358776,0.445277154445648
"U/N Reef (10-445)",144.0340271,-10.91252613,185488.0447,0.502375245094299,0.0764491632580757,5.23554515838623
"U/N Reef (10-800)",142.73902893,-10.81070328,2307674.573,0.761905789375305,0.2173942476511,5.21810626983643
"U/N Reef (10-801)",142.74595642,-10.99333572,321623.9086,0.738343477249146,0.195481657981873,5.09073305130005
"U/N Reef (10-807)",143.953125,-10.68521976,226497.8902,0.389938056468964,0.0904890969395638,0.888864278793335
"U/N Reef (10-407b)",143.99212646,-10.86003113,804688.3738,0.322470933198929,0.0322144255042076,0.452935397624969
"U/N Reef (10-408)",143.65881348,-10.85639668,1695660.535,0.200905382633209,0.0358005203306675,0.180174395442009
"U/N Reef (10-409)",143.71118164,-10.85936832,1963065.433,0.251441419124603,0.0361471995711327,0.378470987081528
"U/N Reef (10-410)",143.79341125,-10.86957836,1681336.972,0.227506741881371,0.0300315022468567,0.519851267337799
"U/N Reef (10-411)",143.47001648,-10.80509758,11671501.5,0.206162363290787,0.0507662370800972,0.370703518390656
"U/N Reef (10-411b)",143.58657837,-10.8515749,46137936.28,0.200183838605881,0.0576173923909664,0.66315221786499
"U/N Reef (10-412)",144.01409912,-10.88740253,19530924.47,0.308295994997025,0.027918417006731,0.482193231582642
"U/N Reef (10-413)",143.55236816,-10.89570427,4642678.451,0.448107570409775,0.0469033867120743,0.199058160185814
"U/N Reef (10-414)",144.01809692,-10.92669582,13690887.88,0.343228757381439,0.0715125873684883,1.24402678012848
"U/N Reef (10-415)",143.57276917,-10.91156006,1847447.884,0.159162282943726,0.0395748540759087,0.246575251221657
"U/N Reef (10-416a)",144.01524353,-10.96391392,1175125.6,0.272707909345627,0.0245249625295401,0.547278702259064
"U/N Reef (10-416b)",144.03215027,-10.96593094,6245503.136,0.274529367685318,0.0233975499868393,0.397658586502075
"U/N Reef (10-417)",143.46723938,-10.88192558,9078681.723,0.197916999459267,0.053692065179348,0.26714500784874
"U/N Reef (10-418a)",144.03520203,-10.9968214,7793911.962,0.278003334999084,0.0248696357011795,0.447563767433167
"U/N Reef (10-418b)",144.0181427,-10.98606586,3839928.039,0.275906473398209,0.0218802429735661,0.377897083759308
"U/N Reef (10-419a)",144.01290894,-11.00776577,3539701.402,0.292591720819473,0.0223623029887676,0.459457814693451
"U/N Reef (10-419b)",144.01309204,-11.01794815,300484.0614,0.316712707281113,0.0834584459662437,0.399048924446106
"U/N Reef (10-420)",143.99504089,-11.01778316,4943655.014,0.321028590202332,0.0245051123201847,0.677846312522888
"U/N Reef (10-421)",143.36489868,-10.99041271,562684.5124,0.141824707388878,0.0626970827579498,0.232389464974403
