"reefName","cotsPerTowMean","cotsPerTowMedian","cotsPerTowMax","nObs","x","y","train"
"(Big) Broadhurst Reef (No 1) (18-100a)",0.0375173981751929,0.0257189971275577,0.127659574468085,8,147.74226379,-18.90699196,TRUE
"(Little) Broadhurst Reef (18-106)",5.06961370970304,0.102889082462253,55.5873015873016,14,147.69447327,-18.95594597,TRUE
"Abrahams Reef (22-093)",3.69653172234524,1.25844806007509,12.2692307692308,4,152.48748779,-22.10082817,TRUE
"Adelaide Reef (17-042)",0.196547410151427,0.0224215246636771,1.2,8,146.47129822,-17.65380287,TRUE
"Agincourt Reefs (No 1) (15-099c)",0,0,0,28,145.86737061,-16.05204773,TRUE
"Agincourt Reefs (No 2a) (15-099b)",0,0,0,6,145.85093689,-16.01783371,TRUE
"Agincourt Reefs (No 2b) (15-099e)",0,0,0,6,145.85839844,-16.03013229,TRUE
"Agincourt Reefs (No 3) (15-099a)",0.0351170568561873,0,0.456521739130435,13,145.83221436,-15.98979378,FALSE
"Agincourt Reefs (No 4) (15-096)",0,0,0,14,145.82078552,-15.94987965,TRUE
"Agincourt Reefs (No 5) (15-099d)",0,0,0,6,145.83525085,-16.03521538,FALSE
"Andersen Reef (15-090)",0,0,0,10,145.80323792,-15.78924942,TRUE
"Arc Reef (18-070)",3.83116883116883,1.09090909090909,13.1428571428571,4,147.44549561,-18.49704361,TRUE
"Arlington Reef (16-064)",0.0363645597605996,0,0.423280423280423,18,146.05477905,-16.69470215,TRUE
"Ashmore Banks (No 1) (11-237a)",0,0,0,10,143.62936401,-11.88521671,TRUE
"Ashmore Banks (No 2) (11-237b)",0,0,0,10,143.70982361,-11.88003635,TRUE
"Ashmore Banks (No 3) (11-237c)",0.0307692307692308,0,0.307692307692308,10,143.68823242,-11.92658424,TRUE
"Bacchi Reef (21-495)",0.0194307608100712,0,0.0689655172413793,6,152.38877869,-21.63401604,TRUE
"Backnumbers Reef (18-069a)",0.0311667510302938,0.0186915887850467,0.0961538461538462,5,147.14831543,-18.50876045,TRUE
"Bait Reef (19-137)",0.0412842428912716,0.0184453227931489,0.224489795918367,16,149.07359314,-19.80712891,TRUE
"Banfield Reef (North) (18-105a)",1.28411342964152,0.0714285714285714,6.09523809523809,5,147.89686584,-18.9248848,TRUE
"Banfield Reef (South) (18-105b)",0.358461538461538,0,1.69230769230769,5,147.90930176,-18.93882942,FALSE
"Barnett Patches (18-019)",0.00389264727563924,0.00216645444255801,0.0122699386503067,8,146.85308838,-18.06010437,TRUE
"Batt Reef (16-029)",0.0653704500757484,0.0137629645150186,0.231707317073171,10,145.76745605,-16.41407585,TRUE
"Beaver Reef (17-051)",0.160479747545204,0,2.3448275862069,17,146.4835968,-17.84960938,TRUE
"Ben Reef (20-113)",0,0,0,23,150.32034302,-20.0068779,TRUE
"Bird Islands Reef (North) (11-167)",0,0,0,4,143.08876038,-11.77057457,TRUE
"Block Reef (19-127)",0.0571767849734908,0.0452337583485124,0.125581395348837,4,149.3734436,-19.69941521,TRUE
"Border Island Reef (No 1) (20-067a)",0,0,0,13,149.02896118,-20.16838264,TRUE
"Boulder Reef (15-012)",0.119686680766391,0,1.48148148148148,26,145.43144226,-15.41388798,TRUE
"Boult Reef (23-079)",0.0585409289142693,0.024390243902439,0.538461538461538,13,152.27194214,-23.75748634,TRUE
"Bowden Reef (19-019)",0.317666365974117,0.025974025974026,4.21428571428571,27,147.92767334,-19.03274727,TRUE
"Bowl Reef (18-080)",0,0,0,6,147.53889465,-18.49941254,TRUE
"Bramble Reef (18-029)",0.324300113522196,0,2.0887573964497,12,146.7061615,-18.4081955,TRUE
"Breaking Patches (16-042)",0,0,0,8,145.98020935,-16.58157539,TRUE
"Briggs Reef (16-074)",0.0072463768115942,0,0.0434782608695652,6,146.20672607,-16.93803215,TRUE
"Briggs Reef (No 1) (20-299d)",0.119791666666667,0.0555555555555556,0.5,8,150.45161438,-20.68408012,FALSE
"Britomart Reef (18-024)",1.26194248525437,0.000834724540901503,9.83703703703704,8,146.72647095,-18.22864151,TRUE
"Broomfield Reef (23-048)",0,0,0,30,151.94029236,-23.26951599,FALSE
"Cairns Reef (15-086)",0.0840531561461794,0,0.588372093023256,7,145.50866699,-15.67227173,TRUE
"Cannan Reef (20-144)",0.075098814229249,0,0.826086956521739,11,150.15145874,-20.48106194,TRUE
"Carter Reef (14-137)",0.000452488687782805,0,0.0117647058823529,26,145.58898926,-14.54767418,TRUE
"Castor Reef (19-025)",0.010334849111203,0.00847457627118644,0.024390243902439,4,148.34069824,-19.01529503,FALSE
"Celebration Reef (13-041)",0.0272750082522892,0.0185185185185185,0.0833333333333333,7,143.69355774,-13.27611446,TRUE
"Centipede Reef (18-088)",0.167161996866433,0.0149253731343284,1.82456140350877,17,147.54231262,-18.72175407,TRUE
"Central Reef (21-577)",0.0435267857142857,0.015625,0.142857142857143,4,152.5219574,-21.92190361,FALSE
"Charity Reef (19-047)",2.23548625075719,0,15.7567567567568,14,148.33796692,-19.36690331,TRUE
"Chesterman Reef (22-090)",2.14040616246499,2.07352941176471,4.23809523809524,4,152.42874146,-22.04010582,TRUE
"Chicken Reef (18-086)",0.311281160102858,0,3.95744680851064,34,147.71723938,-18.64651299,TRUE
"Chinaman Reef (16-024)",0.153232042313364,0,1.88,15,145.79154968,-16.21309662,TRUE
"Chinaman Reef (22-102)",2.11522058151594,0.075,37.2222222222222,31,152.65826416,-22.0051918,TRUE
"Circular Quay Reef (19-134)",0.263447951539555,0.05,0.866666666666667,5,149.48550415,-19.74379349,TRUE
"Clack Reef (14-017)",0.41225491253358,0.11864406779661,2.03125,11,144.24232483,-14.06813049,FALSE
"Coates Reef (17-011)",0.0858202558131686,0,0.783132530120482,10,146.36857605,-17.19708824,TRUE
"Coil Reef (18-046)",0,0,0,5,147.5223999,-18.43486214,TRUE
"Conder Reef (19-219)",0.0319122968065255,0.0158730158730159,0.130434782608696,9,150.19985962,-19.92139053,TRUE
"Corbett Reef (14-016)",0.0380952380952381,0,0.228571428571429,6,144.11610413,-13.97915649,TRUE
"Crab Reef (19-177)",0,0,0,6,149.70863342,-19.7245388,TRUE
"Creal Reef (20-297)",0.0464285714285714,0,0.476190476190476,15,150.38142395,-20.53423691,TRUE
"Credlin Reefs (East) (20-287)",0.383513486259447,0,7.16326530612245,26,149.95120239,-20.54021454,TRUE
"Creech Reef (North) (13-118a)",0.00274348422496571,0,0.0246913580246914,9,144.10391235,-13.62558937,TRUE
"Crescent Reef (14-082)",0,0,0,4,145.08926392,-14.4156599,TRUE
"Curd Reef (12-102)",0.288256625393722,0.032258064516129,2.68,11,143.54925537,-12.58115005,TRUE
"Darley Reef (19-043)",0.00664096239580593,0.00188679245283019,0.0246305418719212,6,148.18327332,-19.19681931,TRUE
"Davie Reef (13-130)",0.15978354978355,0,2.52380952380952,16,144.45483398,-13.97737408,TRUE
"Davies Reef (18-096)",0.179356211479377,0.027027027027027,2.28260869565217,33,147.64483643,-18.8224926,TRUE
"Day Reef (14-089)",0.0178571428571429,0,0.0714285714285714,4,145.53677368,-14.49668884,TRUE
"Detour Reef (21-514)",0.0353862031368245,0.0231754161331626,0.107142857142857,6,152.414505,-21.76066017,TRUE
"Dicks Reef (22-141)",0.315086276005816,0.0689655172413793,1.6969696969697,9,152.66279602,-22.30785561,TRUE
"Dip Reef (18-039)",0.190251572327044,0,4.56603773584906,24,147.44873047,-18.41375351,TRUE
"Duncan Reef (18-020)",0.00274725274725275,0,0.010989010989011,4,146.78665161,-18.08373451,FALSE
"East Cay Reef (21-305)",0.0524330495134732,0,0.522388059701492,25,152.56459045,-21.48348045,FALSE
"Eddy Reef (17-047)",0.0290633612619712,0,0.160919540229885,12,146.43510437,-17.77425957,TRUE
"Edgell Reefs (No 5) (20-112)",0,0,0,7,149.93690491,-20.13447762,TRUE
"Egret Reef (15-013)",0.13246237889095,0,2.02040816326531,16,145.41749573,-15.47411537,TRUE
"Elford Reef (16-073)",0.0183637694170763,0,0.142857142857143,10,146.24856567,-16.9116478,TRUE
"Elizabeth Reef (19-082)",0.150144195275009,0,1.41860465116279,10,149.04302979,-19.32583809,TRUE
"Ellison Reef (17-044)",0.213900411557869,0,2.69491525423729,14,146.39360046,-17.72225189,TRUE
"Emily Reef (15-082)",0.747482123839951,0.0119047619047619,3.64217252396166,5,145.62632751,-15.60594273,TRUE
"Emperor Reef (21-538)",0.012949749940462,0,0.0430769230769231,5,152.44381714,-21.8837204,TRUE
"Endeavour Reef (15-089)",0.255329419439008,0,1.52054794520548,6,145.58180237,-15.77656364,TRUE
"Erskine Reef (23-068)",0.00092678405931418,0,0.0120481927710843,13,151.77363586,-23.50185394,TRUE
"Escape Reef (15-094)",0,0,0,10,145.79629517,-15.87716198,TRUE
"Euston Reef (16-063)",0.0125,0,0.0625,5,146.25227356,-16.68704605,TRUE
"Evening Reef (15-095)",0.191975795320573,0.02,2.30459770114943,17,145.65682983,-15.90518665,TRUE
"Eye Reef (14-134)",0.407692307692308,0,4.30769230769231,11,145.47799683,-14.89468002,TRUE
"Eyrie Reef (14-118)",0.100893087041992,0.0224719101123595,0.850746268656716,17,145.3792572,-14.71065998,TRUE
"Fairey Reef (No 1) (19-109a)",0.0124318658280922,0,0.0566037735849057,5,148.94335938,-19.53862,TRUE
