"reefName","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput","x","y","area"
"U/N Reef (10-330)",NaN,NaN,NaN,142.59162903,-10.77950287,2160417.506
"Harrington Shoal (10-331)",NaN,NaN,NaN,142.71060181,-10.79659367,1104408.176
"U/N Reef (10-332)",NaN,NaN,NaN,142.57356262,-10.82426262,976995.7342
"U/N Reef (10-333)",NaN,NaN,NaN,142.57661438,-10.8354435,454888.3485
"Four Fathom Patches (10-334)",NaN,NaN,NaN,142.68708801,-10.81985474,1683480.033
"Harrington Reef (10-335)",NaN,NaN,NaN,142.72311401,-10.82125187,1967176.707
"Wyborn Reef (10-336)",NaN,NaN,NaN,142.76223755,-10.82104492,14826625.58
"U/N Reef (10-337)",NaN,NaN,NaN,142.92880249,-10.80788326,635652.1532
"Womer Reef (10-338)",NaN,NaN,NaN,142.98362732,-10.79982185,3090350.244
"Brewis Reef (10-339)",NaN,NaN,NaN,142.69335938,-10.88696003,170025.6307
"Turtle Island Reef (10-340)",NaN,NaN,NaN,142.69628906,-10.88979912,289104.9077
"Shortland Reef (10-341)",NaN,NaN,NaN,142.77270508,-10.90133476,3614442.336
"Trochus Reef (10-342)",NaN,NaN,NaN,142.63183594,-10.92067909,655063.5584
"U/N Reef (10-299)",NaN,NaN,NaN,143.08961487,-10.77538872,3584080.437
"Ida Reef (10-314)",NaN,NaN,NaN,142.55873108,-10.71000767,446261.6148
"Tree Reef (10-316)",NaN,NaN,NaN,142.5970459,-10.70428848,92028.66625
"Brush Islet Reef (10-317)",NaN,NaN,NaN,142.59786987,-10.70888901,139720.9895
"Albany Island Reef (No 1) (10-318a)",NaN,NaN,NaN,142.5929718,-10.71530914,686833.2698
"Albany Island Reef (No 2) (10-318b)",NaN,NaN,NaN,142.61784363,-10.72830391,823611.7382
"Albany Island Reef (No 3) (10-318c)",NaN,NaN,NaN,142.62330627,-10.7466259,538542.1609
"Albany Island Reef (No 4) (10-318d)",NaN,NaN,NaN,142.60494995,-10.73894119,1244505.325
"Mai Reef (10-320)",NaN,NaN,NaN,142.62464905,-10.72395611,841209.6165
"Albany Rock Reef (10-321)",NaN,NaN,NaN,142.62982178,-10.71882725,102848.6803
"North Brother Reef (10-322)",NaN,NaN,NaN,142.673172,-10.70076275,119050.1668
"Middle Brother Reef (10-323)",NaN,NaN,NaN,142.68544006,-10.71178818,674648.6183
"South Brother Reef (10-324)",NaN,NaN,NaN,142.6918335,-10.71665955,277807.0462
"North Ledge (10-325)",NaN,NaN,NaN,142.73832703,-10.68028641,5870704.893
"Meggi-Damun Reef (10-326)",NaN,NaN,NaN,142.78610229,-10.68252754,5097799.494
"South Ledge (10-327)",NaN,NaN,NaN,142.73246765,-10.70542622,37291164.12
"Ulfa Reef (10-328)",NaN,NaN,NaN,142.6144104,-10.75758648,71451.27242
"Ariel Bank (10-329)",NaN,NaN,NaN,142.62519836,-10.77074623,292911.8465
