"reefName","cotsPerTowMean","cotsPerTowMedian","nObs","x","y","area"
"(Big) Broadhurst Reef (No 1) (18-100a)",0.0375173981751929,0.0257189971275577,8,147.74226379,-18.90699196,91426745.23
"(Little) Broadhurst Reef (18-106)",5.06961370970304,0.102889082462253,14,147.69447327,-18.95594597,27111207.13
"Abrahams Reef (22-093)",3.69653172234524,1.25844806007509,4,152.48748779,-22.10082817,13137217.48
"Adelaide Reef (17-042)",0.196547410151427,0.0224215246636771,8,146.47129822,-17.65380287,40803871.29
"Agincourt Reefs (No 1) (15-099c)",0,0,28,145.86737061,-16.05204773,2152661.195
"Agincourt Reefs (No 2a) (15-099b)",0,0,6,145.85093689,-16.01783371,1410392.365
"Agincourt Reefs (No 2b) (15-099e)",0,0,6,145.85839844,-16.03013229,1087280.462
"Agincourt Reefs (No 3) (15-099a)",0.0351170568561873,0,13,145.83221436,-15.98979378,7780433.28
"Agincourt Reefs (No 4) (15-096)",0,0,14,145.82078552,-15.94987965,12899854.3
"Agincourt Reefs (No 5) (15-099d)",0,0,6,145.83525085,-16.03521538,2925741.419
"Andersen Reef (15-090)",0,0,10,145.80323792,-15.78924942,5161927.698
"Arc Reef (18-070)",3.83116883116883,1.09090909090909,4,147.44549561,-18.49704361,580615.5661
"Arlington Reef (16-064)",0.0363645597605996,0,18,146.05477905,-16.69470215,127678016.2
"Ashmore Banks (No 1) (11-237a)",0,0,10,143.62936401,-11.88521671,50776602.16
"Ashmore Banks (No 2) (11-237b)",0,0,10,143.70982361,-11.88003635,50916874.06
"Ashmore Banks (No 3) (11-237c)",0.0307692307692308,0,10,143.68823242,-11.92658424,46337315.46
"Bacchi Reef (21-495)",0.0194307608100712,0,6,152.38877869,-21.63401604,1629796.195
"Backnumbers Reef (18-069a)",0.0311667510302938,0.0186915887850467,5,147.14831543,-18.50876045,33122337.09
"Bait Reef (19-137)",0.0412842428912716,0.0184453227931489,16,149.07359314,-19.80712891,6060599.76
"Banfield Reef (North) (18-105a)",1.28411342964152,0.0714285714285714,5,147.89686584,-18.9248848,6540552.971
"Banfield Reef (South) (18-105b)",0.358461538461538,0,5,147.90930176,-18.93882942,4295110.709
"Barnett Patches (18-019)",0.00389264727563924,0.00216645444255801,8,146.85308838,-18.06010437,48177595.93
"Batt Reef (16-029)",0.0653704500757484,0.0137629645150186,10,145.76745605,-16.41407585,140901620.4
"Beaver Reef (17-051)",0.160479747545204,0,17,146.4835968,-17.84960938,18876963.18
"Ben Reef (20-113)",0,0,23,150.32034302,-20.0068779,751500.8152
"Bird Islands Reef (North) (11-167)",0,0,4,143.08876038,-11.77057457,1363112.39
"Block Reef (19-127)",0.0571767849734908,0.0452337583485124,4,149.3734436,-19.69941521,155527942.3
"Border Island Reef (No 1) (20-067a)",0,0,13,149.02896118,-20.16838264,724374.8949
"Boulder Reef (15-012)",0.119686680766391,0,26,145.43144226,-15.41388798,13553642.18
"Boult Reef (23-079)",0.0585409289142693,0.024390243902439,13,152.27194214,-23.75748634,10088265.21
"Bowden Reef (19-019)",0.317666365974117,0.025974025974026,27,147.92767334,-19.03274727,14825249
"Bowl Reef (18-080)",0,0,6,147.53889465,-18.49941254,25990137.37
"Bramble Reef (18-029)",0.324300113522196,0,12,146.7061615,-18.4081955,62941234.48
"Breaking Patches (16-042)",0,0,8,145.98020935,-16.58157539,1731469.207
"Briggs Reef (16-074)",0.0072463768115942,0,6,146.20672607,-16.93803215,1206495.97
"Briggs Reef (No 1) (20-299d)",0.119791666666667,0.0555555555555556,8,150.45161438,-20.68408012,351712.1924
"Britomart Reef (18-024)",1.26194248525437,0.000834724540901503,8,146.72647095,-18.22864151,142659571.1
"Broomfield Reef (23-048)",0,0,30,151.94029236,-23.26951599,15249411.95
"Cairns Reef (15-086)",0.0840531561461794,0,7,145.50866699,-15.67227173,90002612.77
"Cannan Reef (20-144)",0.075098814229249,0,11,150.15145874,-20.48106194,2175150.538
"Carter Reef (14-137)",0.000452488687782805,0,26,145.58898926,-14.54767418,15445386.92
"Castor Reef (19-025)",0.010334849111203,0.00847457627118644,4,148.34069824,-19.01529503,16517122.73
"Celebration Reef (13-041)",0.0272750082522892,0.0185185185185185,7,143.69355774,-13.27611446,9527394.652
"Centipede Reef (18-088)",0.167161996866433,0.0149253731343284,17,147.54231262,-18.72175407,30078104.98
"Central Reef (21-577)",0.0435267857142857,0.015625,4,152.5219574,-21.92190361,3744977.595
"Charity Reef (19-047)",2.23548625075719,0,14,148.33796692,-19.36690331,5233600.767
"Chesterman Reef (22-090)",2.14040616246499,2.07352941176471,4,152.42874146,-22.04010582,9857639.415
"Chicken Reef (18-086)",0.311281160102858,0,34,147.71723938,-18.64651299,56971185.42
"Chinaman Reef (16-024)",0.153232042313364,0,15,145.79154968,-16.21309662,7354203.597
"Chinaman Reef (22-102)",2.11522058151594,0.075,31,152.65826416,-22.0051918,3378785.85
"Circular Quay Reef (19-134)",0.263447951539555,0.05,5,149.48550415,-19.74379349,134933798.5
"Clack Reef (14-017)",0.41225491253358,0.11864406779661,11,144.24232483,-14.06813049,12898824.99
"Coates Reef (17-011)",0.0858202558131686,0,10,146.36857605,-17.19708824,4285330.336
"Coil Reef (18-046)",0,0,5,147.5223999,-18.43486214,2229575.826
"Conder Reef (19-219)",0.0319122968065255,0.0158730158730159,9,150.19985962,-19.92139053,5716473.214
"Corbett Reef (14-016)",0.0380952380952381,0,6,144.11610413,-13.97915649,223273075.5
"Crab Reef (19-177)",0,0,6,149.70863342,-19.7245388,1895013.107
"Creal Reef (20-297)",0.0464285714285714,0,15,150.38142395,-20.53423691,1720946.625
"Credlin Reefs (East) (20-287)",0.383513486259447,0,26,149.95120239,-20.54021454,12220228.66
"Creech Reef (North) (13-118a)",0.00274348422496571,0,9,144.10391235,-13.62558937,5697241.178
"Crescent Reef (14-082)",0,0,4,145.08926392,-14.4156599,29348161.98
"Curd Reef (12-102)",0.288256625393722,0.032258064516129,11,143.54925537,-12.58115005,23373171.25
"Darley Reef (19-043)",0.00664096239580593,0.00188679245283019,6,148.18327332,-19.19681931,130010864.1
"Davie Reef (13-130)",0.15978354978355,0,16,144.45483398,-13.97737408,6763119.803
"Davies Reef (18-096)",0.179356211479377,0.027027027027027,33,147.64483643,-18.8224926,16614663.82
"Day Reef (14-089)",0.0178571428571429,0,4,145.53677368,-14.49668884,23858269.08
"Detour Reef (21-514)",0.0353862031368245,0.0231754161331626,6,152.414505,-21.76066017,10081373.78
"Dicks Reef (22-141)",0.315086276005816,0.0689655172413793,9,152.66279602,-22.30785561,5124925.997
"Dip Reef (18-039)",0.190251572327044,0,24,147.44873047,-18.41375351,14091026.9
"Duncan Reef (18-020)",0.00274725274725275,0,4,146.78665161,-18.08373451,22326183.47
"East Cay Reef (21-305)",0.0524330495134732,0,25,152.56459045,-21.48348045,8927895.827
"Eddy Reef (17-047)",0.0290633612619712,0,12,146.43510437,-17.77425957,11101571.06
"Edgell Reefs (No 5) (20-112)",0,0,7,149.93690491,-20.13447762,12538300.53
"Egret Reef (15-013)",0.13246237889095,0,16,145.41749573,-15.47411537,11951889.18
"Elford Reef (16-073)",0.0183637694170763,0,10,146.24856567,-16.9116478,39652741.47
