modelNameMod2,filePathMod2,hydroModelMod2,settlementRadiusMod2,precompPeriodMod2,dateMod2,spawningSeasonMod2,yearMod2,monthDayMod2,mod1IndMod2,mod2IndMod2,dayMod2,spawningSeasonYearMod2
conMat_SLIM_0p5km_compSurvTc9_20181201,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20181201.mat,SLIM,0.5,9,20181201,2018-19,2018,1201,1,1,1,2018
conMat_SLIM_0p5km_compSurvTc9_20181207,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20181207.mat,SLIM,0.5,9,20181207,2018-19,2018,1207,2,2,7,2018
conMat_SLIM_0p5km_compSurvTc9_20181214,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20181214.mat,SLIM,0.5,9,20181214,2018-19,2018,1214,3,3,14,2018
conMat_SLIM_0p5km_compSurvTc9_20181221,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20181221.mat,SLIM,0.5,9,20181221,2018-19,2018,1221,4,4,21,2018
conMat_SLIM_0p5km_compSurvTc9_20181228,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20181228.mat,SLIM,0.5,9,20181228,2018-19,2018,1228,5,5,28,2018
conMat_SLIM_0p5km_compSurvTc9_20190101,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20190101.mat,SLIM,0.5,9,20190101,2018-19,2019,0101,6,6,32,2018
conMat_SLIM_0p5km_compSurvTc9_20190107,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20190107.mat,SLIM,0.5,9,20190107,2018-19,2019,0107,7,7,38,2018
conMat_SLIM_0p5km_compSurvTc9_20190114,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20190114.mat,SLIM,0.5,9,20190114,2018-19,2019,0114,8,8,45,2018
conMat_SLIM_0p5km_compSurvTc9_20190121,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20190121.mat,SLIM,0.5,9,20190121,2018-19,2019,0121,9,9,52,2018
conMat_SLIM_0p5km_compSurvTc9_20190128,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20190128.mat,SLIM,0.5,9,20190128,2018-19,2019,0128,10,10,59,2018
conMat_SLIM_0p5km_compSurvTc12_20181201,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20181201.mat,SLIM,0.5,12,20181201,2018-19,2018,1201,11,11,1,2018
conMat_SLIM_0p5km_compSurvTc12_20181207,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20181207.mat,SLIM,0.5,12,20181207,2018-19,2018,1207,12,12,7,2018
conMat_SLIM_0p5km_compSurvTc12_20181214,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20181214.mat,SLIM,0.5,12,20181214,2018-19,2018,1214,13,13,14,2018
conMat_SLIM_0p5km_compSurvTc12_20181221,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20181221.mat,SLIM,0.5,12,20181221,2018-19,2018,1221,14,14,21,2018
conMat_SLIM_0p5km_compSurvTc12_20181228,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20181228.mat,SLIM,0.5,12,20181228,2018-19,2018,1228,15,15,28,2018
conMat_SLIM_0p5km_compSurvTc12_20190101,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20190101.mat,SLIM,0.5,12,20190101,2018-19,2019,0101,16,16,32,2018
conMat_SLIM_0p5km_compSurvTc12_20190107,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20190107.mat,SLIM,0.5,12,20190107,2018-19,2019,0107,17,17,38,2018
conMat_SLIM_0p5km_compSurvTc12_20190114,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20190114.mat,SLIM,0.5,12,20190114,2018-19,2019,0114,18,18,45,2018
conMat_SLIM_0p5km_compSurvTc12_20190121,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20190121.mat,SLIM,0.5,12,20190121,2018-19,2019,0121,19,19,52,2018
conMat_SLIM_0p5km_compSurvTc12_20190128,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20190128.mat,SLIM,0.5,12,20190128,2018-19,2019,0128,20,20,59,2018
conMat_SLIM_0p5km_compSurvTc15_20181201,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20181201.mat,SLIM,0.5,15,20181201,2018-19,2018,1201,21,21,1,2018
conMat_SLIM_0p5km_compSurvTc15_20181207,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20181207.mat,SLIM,0.5,15,20181207,2018-19,2018,1207,22,22,7,2018
conMat_SLIM_0p5km_compSurvTc15_20181214,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20181214.mat,SLIM,0.5,15,20181214,2018-19,2018,1214,23,23,14,2018
conMat_SLIM_0p5km_compSurvTc15_20181221,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20181221.mat,SLIM,0.5,15,20181221,2018-19,2018,1221,24,24,21,2018
conMat_SLIM_0p5km_compSurvTc15_20181228,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20181228.mat,SLIM,0.5,15,20181228,2018-19,2018,1228,25,25,28,2018
conMat_SLIM_0p5km_compSurvTc15_20190101,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20190101.mat,SLIM,0.5,15,20190101,2018-19,2019,0101,26,26,32,2018
conMat_SLIM_0p5km_compSurvTc15_20190107,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20190107.mat,SLIM,0.5,15,20190107,2018-19,2019,0107,27,27,38,2018
conMat_SLIM_0p5km_compSurvTc15_20190114,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20190114.mat,SLIM,0.5,15,20190114,2018-19,2019,0114,28,28,45,2018
conMat_SLIM_0p5km_compSurvTc15_20190121,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20190121.mat,SLIM,0.5,15,20190121,2018-19,2019,0121,29,29,52,2018
conMat_SLIM_0p5km_compSurvTc15_20190128,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20190128.mat,SLIM,0.5,15,20190128,2018-19,2019,0128,30,30,59,2018
conMat_SLIM_1km_compSurvTc9_20181201,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20181201.mat,SLIM,1,9,20181201,2018-19,2018,1201,31,31,1,2018
conMat_SLIM_1km_compSurvTc9_20181207,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20181207.mat,SLIM,1,9,20181207,2018-19,2018,1207,32,32,7,2018
conMat_SLIM_1km_compSurvTc9_20181214,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20181214.mat,SLIM,1,9,20181214,2018-19,2018,1214,33,33,14,2018
conMat_SLIM_1km_compSurvTc9_20181221,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20181221.mat,SLIM,1,9,20181221,2018-19,2018,1221,34,34,21,2018
conMat_SLIM_1km_compSurvTc9_20181228,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20181228.mat,SLIM,1,9,20181228,2018-19,2018,1228,35,35,28,2018
conMat_SLIM_1km_compSurvTc9_20190101,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20190101.mat,SLIM,1,9,20190101,2018-19,2019,0101,36,36,32,2018
conMat_SLIM_1km_compSurvTc9_20190107,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20190107.mat,SLIM,1,9,20190107,2018-19,2019,0107,37,37,38,2018
conMat_SLIM_1km_compSurvTc9_20190114,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20190114.mat,SLIM,1,9,20190114,2018-19,2019,0114,38,38,45,2018
conMat_SLIM_1km_compSurvTc9_20190121,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20190121.mat,SLIM,1,9,20190121,2018-19,2019,0121,39,39,52,2018
conMat_SLIM_1km_compSurvTc9_20190128,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20190128.mat,SLIM,1,9,20190128,2018-19,2019,0128,40,40,59,2018
conMat_SLIM_1km_compSurvTc12_20181201,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20181201.mat,SLIM,1,12,20181201,2018-19,2018,1201,41,41,1,2018
conMat_SLIM_1km_compSurvTc12_20181207,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20181207.mat,SLIM,1,12,20181207,2018-19,2018,1207,42,42,7,2018
conMat_SLIM_1km_compSurvTc12_20181214,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20181214.mat,SLIM,1,12,20181214,2018-19,2018,1214,43,43,14,2018
conMat_SLIM_1km_compSurvTc12_20181221,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20181221.mat,SLIM,1,12,20181221,2018-19,2018,1221,44,44,21,2018
conMat_SLIM_1km_compSurvTc12_20181228,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20181228.mat,SLIM,1,12,20181228,2018-19,2018,1228,45,45,28,2018
conMat_SLIM_1km_compSurvTc12_20190101,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20190101.mat,SLIM,1,12,20190101,2018-19,2019,0101,46,46,32,2018
conMat_SLIM_1km_compSurvTc12_20190107,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20190107.mat,SLIM,1,12,20190107,2018-19,2019,0107,47,47,38,2018
conMat_SLIM_1km_compSurvTc12_20190114,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20190114.mat,SLIM,1,12,20190114,2018-19,2019,0114,48,48,45,2018
conMat_SLIM_1km_compSurvTc12_20190121,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20190121.mat,SLIM,1,12,20190121,2018-19,2019,0121,49,49,52,2018
conMat_SLIM_1km_compSurvTc12_20190128,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20190128.mat,SLIM,1,12,20190128,2018-19,2019,0128,50,50,59,2018
conMat_SLIM_1km_compSurvTc15_20181201,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20181201.mat,SLIM,1,15,20181201,2018-19,2018,1201,51,51,1,2018
conMat_SLIM_1km_compSurvTc15_20181207,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20181207.mat,SLIM,1,15,20181207,2018-19,2018,1207,52,52,7,2018
conMat_SLIM_1km_compSurvTc15_20181214,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20181214.mat,SLIM,1,15,20181214,2018-19,2018,1214,53,53,14,2018
conMat_SLIM_1km_compSurvTc15_20181221,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20181221.mat,SLIM,1,15,20181221,2018-19,2018,1221,54,54,21,2018
conMat_SLIM_1km_compSurvTc15_20181228,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20181228.mat,SLIM,1,15,20181228,2018-19,2018,1228,55,55,28,2018
conMat_SLIM_1km_compSurvTc15_20190101,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20190101.mat,SLIM,1,15,20190101,2018-19,2019,0101,56,56,32,2018
conMat_SLIM_1km_compSurvTc15_20190107,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20190107.mat,SLIM,1,15,20190107,2018-19,2019,0107,57,57,38,2018
conMat_SLIM_1km_compSurvTc15_20190114,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20190114.mat,SLIM,1,15,20190114,2018-19,2019,0114,58,58,45,2018
conMat_SLIM_1km_compSurvTc15_20190121,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20190121.mat,SLIM,1,15,20190121,2018-19,2019,0121,59,59,52,2018
conMat_SLIM_1km_compSurvTc15_20190128,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc15/conMat_SLIM_1km_compSurvTc15_20190128.mat,SLIM,1,15,20190128,2018-19,2019,0128,60,60,59,2018
conMat_SLIM_0p5km_compSurvTc9_20191201,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20191201.mat,SLIM,0.5,9,20191201,2019-20,2019,1201,61,61,1,2019
conMat_SLIM_0p5km_compSurvTc9_20191207,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20191207.mat,SLIM,0.5,9,20191207,2019-20,2019,1207,62,62,7,2019
conMat_SLIM_0p5km_compSurvTc9_20191214,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20191214.mat,SLIM,0.5,9,20191214,2019-20,2019,1214,63,63,14,2019
conMat_SLIM_0p5km_compSurvTc9_20191221,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20191221.mat,SLIM,0.5,9,20191221,2019-20,2019,1221,64,64,21,2019
conMat_SLIM_0p5km_compSurvTc9_20191228,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20191228.mat,SLIM,0.5,9,20191228,2019-20,2019,1228,65,65,28,2019
conMat_SLIM_0p5km_compSurvTc9_20200101,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20200101.mat,SLIM,0.5,9,20200101,2019-20,2020,0101,66,66,32,2019
conMat_SLIM_0p5km_compSurvTc9_20200107,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20200107.mat,SLIM,0.5,9,20200107,2019-20,2020,0107,67,67,38,2019
conMat_SLIM_0p5km_compSurvTc9_20200114,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20200114.mat,SLIM,0.5,9,20200114,2019-20,2020,0114,68,68,45,2019
conMat_SLIM_0p5km_compSurvTc9_20200121,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20200121.mat,SLIM,0.5,9,20200121,2019-20,2020,0121,69,69,52,2019
conMat_SLIM_0p5km_compSurvTc9_20200128,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvAll/conMat_SLIM_0p5km_compSurvAll_20200128.mat,SLIM,0.5,9,20200128,2019-20,2020,0128,70,70,59,2019
conMat_SLIM_0p5km_compSurvTc12_20191201,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191201.mat,SLIM,0.5,12,20191201,2019-20,2019,1201,71,71,1,2019
conMat_SLIM_0p5km_compSurvTc12_20191207,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191207.mat,SLIM,0.5,12,20191207,2019-20,2019,1207,72,72,7,2019
conMat_SLIM_0p5km_compSurvTc12_20191214,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191214.mat,SLIM,0.5,12,20191214,2019-20,2019,1214,73,73,14,2019
conMat_SLIM_0p5km_compSurvTc12_20191221,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191221.mat,SLIM,0.5,12,20191221,2019-20,2019,1221,74,74,21,2019
conMat_SLIM_0p5km_compSurvTc12_20191228,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191228.mat,SLIM,0.5,12,20191228,2019-20,2019,1228,75,75,28,2019
