"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"(Big) Broadhurst Reef (No 1) (18-100a)",0,8,0.0375173981751929,0.127659574468085,0.0257189971275577
"(Little) Broadhurst Reef (18-106)",1,14,5.06961370970304,55.5873015873016,0.102889082462253
"Abrahams Reef (22-093)",1,4,3.69653172234524,12.2692307692308,1.25844806007509
"Adelaide Reef (17-042)",1,8,0.196547410151427,1.2,0.0224215246636771
"Agincourt Reefs (No 1) (15-099c)",0,28,0,0,0
"Agincourt Reefs (No 3) (15-099a)",1,13,0.0351170568561873,0.456521739130435,0
"Agincourt Reefs (No 4) (15-096)",0,14,0,0,0
"Andersen Reef (15-090)",0,10,0,0,0
"Arc Reef (18-070)",1,4,3.83116883116883,13.1428571428571,1.09090909090909
"Arlington Reef (16-064)",1,18,0.0363645597605996,0.423280423280423,0
"Ashmore Banks (No 1) (11-237a)",0,10,0,0,0
"Ashmore Banks (No 2) (11-237b)",0,10,0,0,0
"Ashmore Banks (No 3) (11-237c)",1,10,0.0307692307692308,0.307692307692308,0
"Bait Reef (19-137)",1,16,0.0412842428912716,0.224489795918367,0.0184453227931489
"Banfield Reef (North) (18-105a)",1,5,1.28411342964152,6.09523809523809,0.0714285714285714
"Banfield Reef (South) (18-105b)",1,5,0.358461538461538,1.69230769230769,0
"Barnett Patches (18-019)",0,8,0.00389264727563924,0.0122699386503067,0.00216645444255801
"Batt Reef (16-029)",1,10,0.0653704500757484,0.231707317073171,0.0137629645150186
"Beacon Reef (21-582)",1,1,11.5333333333333,11.5333333333333,11.5333333333333
"Beaver Reef (17-051)",1,17,0.160479747545204,2.3448275862069,0
"Bee Reef (15-057)",1,1,0.32,0.32,0.32
"Ben Reef (20-113)",0,23,0,0,0
"Blanchard Reef (13-060)",1,3,0.132147742499136,0.292929292929293,0.0943396226415094
"Blu-Lion Reef (21-566)",1,2,2.88938053097345,5.7787610619469,2.88938053097345
"Border Island Reef (No 1) (20-067a)",0,13,0,0,0
"Boulder Reef (15-012)",1,26,0.119686680766391,1.48148148148148,0
"Boult Reef (23-079)",1,13,0.0585409289142693,0.538461538461538,0.024390243902439
"Bowden Reef (19-019)",1,27,0.317666365974117,4.21428571428571,0.025974025974026
"Bramble Reef (18-029)",1,12,0.324300113522196,2.0887573964497,0
"Breaking Patches (16-042)",0,8,0,0,0
"Briggs Reef (No 1) (20-299d)",1,8,0.119791666666667,0.5,0.0555555555555556
"Britomart Reef (18-024)",1,8,1.26194248525437,9.83703703703704,0.000834724540901503
"Broomfield Reef (23-048)",0,30,0,0,0
"Bushy-Redbill Reef (20-310)",1,2,1.90163934426229,3.80327868852459,1.90163934426229
"Cairns Reef (15-086)",1,7,0.0840531561461794,0.588372093023256,0
"Cannan Reef (20-144)",1,11,0.075098814229249,0.826086956521739,0
"Carter Reef (14-137)",0,26,0.000452488687782805,0.0117647058823529,0
"Cayley Reef (17-023)",1,2,0.244444444444444,0.488888888888889,0.244444444444444
"Centipede Reef (18-088)",1,17,0.167161996866433,1.82456140350877,0.0149253731343284
"Charity Reef (19-047)",1,14,2.23548625075719,15.7567567567568,0
"Chesterman Reef (22-090)",1,4,2.14040616246499,4.23809523809524,2.07352941176471
"Chicken Reef (18-086)",1,34,0.311281160102858,3.95744680851064,0
"Chinaman Reef (16-024)",1,15,0.153232042313364,1.88,0
"Chinaman Reef (22-102)",1,31,2.11522058151594,37.2222222222222,0.075
"Circular Quay Reef (19-134)",1,5,0.263447951539555,0.866666666666667,0.05
"Clack Reef (14-017)",1,11,0.41225491253358,2.03125,0.11864406779661
"Coates Reef (17-011)",1,10,0.0858202558131686,0.783132530120482,0
"Conder Reef (19-219)",0,9,0.0319122968065255,0.130434782608696,0.0158730158730159
"Corbett Reef (14-016)",1,6,0.0380952380952381,0.228571428571429,0
"Creal Reef (20-297)",1,15,0.0464285714285714,0.476190476190476,0
"Credlin Reefs (East) (20-287)",1,26,0.383513486259447,7.16326530612245,0
"Creech Reef (North) (13-118a)",0,9,0.00274348422496571,0.0246913580246914,0
"Crotan Reef (19-031)",1,2,9.09280303030303,17.7272727272727,9.09280303030303
"Curd Reef (12-102)",1,11,0.288256625393722,2.68,0.032258064516129
