"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"U/N Reef (10-330)",NaN,NaN,NaN,NaN,NaN
"Harrington Shoal (10-331)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-332)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-333)",NaN,NaN,NaN,NaN,NaN
"Four Fathom Patches (10-334)",NaN,NaN,NaN,NaN,NaN
"Harrington Reef (10-335)",NaN,NaN,NaN,NaN,NaN
"Wyborn Reef (10-336)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-337)",NaN,NaN,NaN,NaN,NaN
"Womer Reef (10-338)",NaN,NaN,NaN,NaN,NaN
"Brewis Reef (10-339)",NaN,NaN,NaN,NaN,NaN
"Turtle Island Reef (10-340)",NaN,NaN,NaN,NaN,NaN
"Shortland Reef (10-341)",NaN,NaN,NaN,NaN,NaN
"Trochus Reef (10-342)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-299)",NaN,NaN,NaN,NaN,NaN
"Ida Reef (10-314)",NaN,NaN,NaN,NaN,NaN
"Tree Reef (10-316)",NaN,NaN,NaN,NaN,NaN
"Brush Islet Reef (10-317)",NaN,NaN,NaN,NaN,NaN
"Albany Island Reef (No 1) (10-318a)",NaN,NaN,NaN,NaN,NaN
"Albany Island Reef (No 2) (10-318b)",NaN,NaN,NaN,NaN,NaN
"Albany Island Reef (No 3) (10-318c)",NaN,NaN,NaN,NaN,NaN
"Albany Island Reef (No 4) (10-318d)",NaN,NaN,NaN,NaN,NaN
"Mai Reef (10-320)",NaN,NaN,NaN,NaN,NaN
"Albany Rock Reef (10-321)",NaN,NaN,NaN,NaN,NaN
"North Brother Reef (10-322)",NaN,NaN,NaN,NaN,NaN
"Middle Brother Reef (10-323)",NaN,NaN,NaN,NaN,NaN
"South Brother Reef (10-324)",NaN,NaN,NaN,NaN,NaN
"North Ledge (10-325)",NaN,NaN,NaN,NaN,NaN
"Meggi-Damun Reef (10-326)",NaN,NaN,NaN,NaN,NaN
"South Ledge (10-327)",NaN,NaN,NaN,NaN,NaN
"Ulfa Reef (10-328)",NaN,NaN,NaN,NaN,NaN
"Ariel Bank (10-329)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-401)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-402)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-403)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-404)",NaN,NaN,NaN,NaN,NaN
