"x"
"U/N Reef (10-330)"
"Harrington Shoal (10-331)"
"U/N Reef (10-332)"
"U/N Reef (10-333)"
"Four Fathom Patches (10-334)"
"Harrington Reef (10-335)"
"Wyborn Reef (10-336)"
"U/N Reef (10-337)"
"Womer Reef (10-338)"
"Brewis Reef (10-339)"
"Turtle Island Reef (10-340)"
"Shortland Reef (10-341)"
"Trochus Reef (10-342)"
"U/N Reef (10-299)"
"Ida Reef (10-314)"
"Tree Reef (10-316)"
"Brush Islet Reef (10-317)"
"Albany Island Reef (No 1) (10-318a)"
"Albany Island Reef (No 2) (10-318b)"
"Albany Island Reef (No 3) (10-318c)"
"Albany Island Reef (No 4) (10-318d)"
"Mai Reef (10-320)"
"Albany Rock Reef (10-321)"
"North Brother Reef (10-322)"
"Middle Brother Reef (10-323)"
"South Brother Reef (10-324)"
"North Ledge (10-325)"
"Meggi-Damun Reef (10-326)"
"South Ledge (10-327)"
"Ulfa Reef (10-328)"
"Ariel Bank (10-329)"
"U/N Reef (10-401)"
"U/N Reef (10-402)"
"U/N Reef (10-403)"
"U/N Reef (10-404)"
"U/N Reef (10-405)"
"U/N Reef (10-406)"
"U/N Reef (10-407a)"
"Turtle Head Island Reef (No 1) (10-343a)"
"Turtle Head Island Reef (No 2) (10-343b)"
"Tern Reef (10-344)"
"U/N Reef (10-348)"
"U/N Reef (10-349)"
"U/N Reef (10-350)"
"U/N Reef (10-351)"
"U/N Reef (10-352)"
"U/N Reef (10-353)"
"U/N Reef (10-354)"
"U/N Reef (10-355)"
"U/N Reef (10-356)"
"U/N Reef (10-357)"
"U/N Reef (10-358)"
"U/N Reef (10-359)"
"U/N Reef (10-360)"
"U/N Reef (10-361)"
"U/N Reef (10-362)"
"U/N Reef (10-363)"
"U/N Reef (10-364)"
"Linda Reef (10-365)"
"U/N Reef (10-366)"
"U/N Reef (10-367)"
"U/N Reef (10-368)"
"U/N Reef (10-369)"
"U/N Reef (10-370)"
"U/N Reef (10-371)"
"U/N Reef (10-372)"
"U/N Reef (10-373)"
"U/N Reef (10-374)"
"U/N Reef (10-375a)"
"U/N Reef (10-375b)"
"U/N Reef (10-376)"
"U/N Reef (10-378)"
"U/N Reef (10-381)"
"U/N Reef (10-382)"
"U/N Reef (10-384)"
"U/N Reef (10-385)"
"U/N Reef (10-386)"
"U/N Reef (10-387)"
"U/N Reef (10-389)"
"U/N Reef (10-390)"
"Triangle Reef (10-391)"
"U/N Reef (10-392)"
"U/N Reef (10-393)"
"U/N Reef (10-394)"
"U/N Reef (10-395)"
"U/N Reef (10-396)"
"U/N Reef (10-397)"
"U/N Reef (10-398)"
"U/N Reef (10-399)"
"U/N Reef (10-400)"
"U/N Reef (10-426)"
"U/N Reef (10-427)"
"U/N Reef (10-428a)"
"U/N Reef (10-428b)"
"U/N Reef (10-429)"
"U/N Reef (10-430)"
"U/N Reef (10-431)"
"U/N Reef (10-432)"
"U/N Reef (10-434)"
"U/N Reef (10-436)"
"U/N Reef (10-437)"
"U/N Reef (10-438)"
"U/N Reef (10-439)"
"U/N Reef (10-440)"
"U/N Reef (11-325)"
"U/N Reef (10-442)"
"U/N Reef (10-443)"
"U/N Reef (10-444)"
"U/N Reef (10-445)"
"U/N Reef (10-800)"
"U/N Reef (10-801)"
"U/N Reef (10-807)"
"U/N Reef (10-407b)"
"U/N Reef (10-408)"
"U/N Reef (10-409)"
"U/N Reef (10-410)"
"U/N Reef (10-411)"
"U/N Reef (10-411b)"
"U/N Reef (10-412)"
"U/N Reef (10-413)"
"U/N Reef (10-414)"
"U/N Reef (10-415)"
"U/N Reef (10-416a)"
"U/N Reef (10-416b)"
"U/N Reef (10-417)"
"U/N Reef (10-418a)"
"U/N Reef (10-418b)"
"U/N Reef (10-419a)"
"U/N Reef (10-419b)"
"U/N Reef (10-420)"
"U/N Reef (10-421)"
"U/N Reef (10-422)"
"U/N Reef (10-423)"
"U/N Reef (10-424)"
"U/N Reef (10-425)"
"U/N Reef (11-034)"
"Arnold Reef (11-001)"
